case_folding,tokenized_text
ongkosnya tidak memanusiakan manusia untuk drivernya,"['ongkosnya', 'tidak', 'memanusiakan', 'manusia', 'untuk', 'drivernya']"
baik,['baik']
terimakasih,['terimakasih']
aplikasi susah di pakai,"['aplikasi', 'susah', 'di', 'pakai']"
tolong lah management pihak maxim di perbaiki aku udah x bayar kembalian ga pernah di kasih dengan alasan dompet ketinggalan ga ada kembalian bukan masalah nominal tapi sebel aja pelayanannya kek gini ga profesional harusnya kan udah tau kerjanya apa butuhnya apa yaa harus di penuhi dong saran aja yg baca ulasanku kalo kalian bayar cash mending kasih uang pas aja kalo berbaik hati mau kasih tips sih beda pembahasan ya ini kembali lagi ke customer,"['tolong', 'lah', 'management', 'pihak', 'maxim', 'di', 'perbaiki', 'aku', 'udah', 'x', 'bayar', 'kembalian', 'ga', 'pernah', 'di', 'kasih', 'dengan', 'alasan', 'dompet', 'ketinggalan', 'ga', 'ada', 'kembalian', 'bukan', 'masalah', 'nominal', 'tapi', 'sebel', 'aja', 'pelayanannya', 'kek', 'gini', 'ga', 'profesional', 'harusnya', 'kan', 'udah', 'tau', 'kerjanya', 'apa', 'butuhnya', 'apa', 'yaa', 'harus', 'di', 'penuhi', 'dong', 'saran', 'aja', 'yg', 'baca', 'ulasanku', 'kalo', 'kalian', 'bayar', 'cash', 'mending', 'kasih', 'uang', 'pas', 'aja', 'kalo', 'berbaik', 'hati', 'mau', 'kasih', 'tips', 'sih', 'beda', 'pembahasan', 'ya', 'ini', 'kembali', 'lagi', 'ke', 'customer']"
maxim sampai mau kapan begini terus gak ada follow up about non cash payment percuma ada layanan kaspro sudah di isi tapi tidak bisa untuk payment mau sampai kapan,"['maxim', 'sampai', 'mau', 'kapan', 'begini', 'terus', 'gak', 'ada', 'follow', 'up', 'about', 'non', 'cash', 'payment', 'percuma', 'ada', 'layanan', 'kaspro', 'sudah', 'di', 'isi', 'tapi', 'tidak', 'bisa', 'untuk', 'payment', 'mau', 'sampai', 'kapan']"
bintang apk ga jelas,"['bintang', 'apk', 'ga', 'jelas']"
sangat buruk saldo elektronik kaspro kepotong driver monta tunai juga,"['sangat', 'buruk', 'saldo', 'elektronik', 'kaspro', 'kepotong', 'driver', 'monta', 'tunai', 'juga']"
maxim kalau nerima karyawan yg sopan jangan orng gak jls pengalaman saya hari ini okt saya naik maxim eka supraman dia nekat minta tambahan uang ke orang tua saya dia nyamperin orang tua saya untuk mnta tambahan padahal dri awal udh saya lebihin dn dia mnta tambah lagi smpe saya g kasih nekat ke mama saya tlng untuk fisik motor nya lebih di teliti lagi yg layak untuk berkendara sangat kecewa mengunakan maxim,"['maxim', 'kalau', 'nerima', 'karyawan', 'yg', 'sopan', 'jangan', 'orng', 'gak', 'jls', 'pengalaman', 'saya', 'hari', 'ini', 'okt', 'saya', 'naik', 'maxim', 'eka', 'supraman', 'dia', 'nekat', 'minta', 'tambahan', 'uang', 'ke', 'orang', 'tua', 'saya', 'dia', 'nyamperin', 'orang', 'tua', 'saya', 'untuk', 'mnta', 'tambahan', 'padahal', 'dri', 'awal', 'udh', 'saya', 'lebihin', 'dn', 'dia', 'mnta', 'tambah', 'lagi', 'smpe', 'saya', 'g', 'kasih', 'nekat', 'ke', 'mama', 'saya', 'tlng', 'untuk', 'fisik', 'motor', 'nya', 'lebih', 'di', 'teliti', 'lagi', 'yg', 'layak', 'untuk', 'berkendara', 'sangat', 'kecewa', 'mengunakan', 'maxim']"
gk ad yng bener jln nya,"['gk', 'ad', 'yng', 'bener', 'jln', 'nya']"
hello maxim owner menerima driver harus lebih selektif lagi jangan orang yg brangasanbad attitudekasar dan suka playing victim macam yg namanya si hardi pake ngerekam saya segalaaagaya lu tooong lu kan tau gue minta dianter ke hotel anupas elu menurunkan gueada gak hotel nya nyerocos kayak orang gilasongong lu,"['hello', 'maxim', 'owner', 'menerima', 'driver', 'harus', 'lebih', 'selektif', 'lagi', 'jangan', 'orang', 'yg', 'brangasanbad', 'attitudekasar', 'dan', 'suka', 'playing', 'victim', 'macam', 'yg', 'namanya', 'si', 'hardi', 'pake', 'ngerekam', 'saya', 'segalaaagaya', 'lu', 'tooong', 'lu', 'kan', 'tau', 'gue', 'minta', 'dianter', 'ke', 'hotel', 'anupas', 'elu', 'menurunkan', 'gueada', 'gak', 'hotel', 'nya', 'nyerocos', 'kayak', 'orang', 'gilasongong', 'lu']"
lucu udah top up kaspro malah ga masuk nominal nya ga sedikit lagi,"['lucu', 'udah', 'top', 'up', 'kaspro', 'malah', 'ga', 'masuk', 'nominal', 'nya', 'ga', 'sedikit', 'lagi']"
salah satu aplikasi yg menurut ku jlk pengemudinya lelet dan sering cancel orderan,"['salah', 'satu', 'aplikasi', 'yg', 'menurut', 'ku', 'jlk', 'pengemudinya', 'lelet', 'dan', 'sering', 'cancel', 'orderan']"
