Ulasan,Prediksi Sentimen,Label Prediksi,Label Asli
cari drever mudah tepat waktu tingkat terus,0.9886291660368443,1.0,1.0
cepat tiba cekat antar penuh hati paling utama jujur krn hp jaga hp tinggal kembali bukan masalah hp cina nilai jujur mahal moga bawa image maxim lebih baik terima kasih pak sumanta bbyx,0.9997912835387979,1.0,1.0
mau order dapet driver jauh banget tempat mesen sampe menit menit,0.217323899269104,0.0,1.0
bagus,0.9842692036181688,1.0,1.0
oke,0.981120316311717,1.0,1.0
tepat waktu ramah,0.9989869333803654,1.0,1.0
ga beda jauh sama grabongkirnyapembayar ga non tunai,0.10986936092376709,0.0,0.0
apk ga jelas banyak driver cabul nurunin tumpang enak alas gajelas padahal sampe tuju uda gitu minta bayar full lebii perhatiin deh buat driver nya kalo emang mau kerja tu niat jangan buat nipu orang,0.1682490110397339,0.0,0.0
baik,0.9890573062002659,1.0,1.0
aplikasi cacat mau cancel order gak,0.04295307397842407,0.0,0.0
drivernya sangat sangat ramah baik bnget masyallah,0.9998639029363403,1.0,1.0
driver nya baik ramah sopan,0.9999284889199771,1.0,1.0
titik lokasi gak bener ngerugiin customer gak mungkin kan nyalahin drivernya,0.026714444160461426,0.0,0.0
baik,0.9890573062002659,1.0,1.0
lama ramah,0.997110677184537,1.0,1.0
gausah narik bapak plat nomor b pdd udah ngelanggar atur lalu lintas masuk jalur sepeda banting sepeda orang sampe rusak bilang sama drivernya udah bapak tua bangka mikir enak kasi kerjaaan malah langgar,0.42286229133605957,0.0,0.0
maps ny emng ga akurat lokasi dimna deteksi ny dmna pulasmpai beda kelurahansaran maps ny upgrade biar akuratkdang driverny udh tau alamat dsini tpi sering smpai salah alamatmasa iya yg jmput driverny keluarsaya pakai aplikasi biar ga ribet nyari kendara jlantapi mlah yg tmbah ribetmending nyari ojek tepi jlan aj sklian klau gtu,0.112102210521698,0.0,0.0
sma muaro jambi lecehin hampir bunuh telinga darah maxim apk jelekk,0.23984843492507935,0.0,0.0
driver baik ramah kemudi aman,0.9999579314899165,1.0,1.0
sangat baik,0.9979219604283571,1.0,1.0
kantor maxim tasikmalaya pegawai driver kayak musuh karna terlalu bnyk atur anggar beli stiker,0.34909093379974365,0.0,0.0
cepat layan nya bagus,0.9994876839919016,1.0,1.0
tambahin fitur batal maxim food mikir dong orang buru buru urus ato ga sengaja pencet,0.036669135093688965,0.0,1.0
bagus,0.9842692036181688,1.0,1.0
aplikasi scam banyak hoax nya gw kasih bintang soal scam aplikasi jelek,0.06105846166610718,0.0,0.0
udah kali cancel order gak cancel apk drivernya hari jadi udah cancel apk tetep jalan apk driver udah pergi mesen ojek online apk tibatiba driver maxime ngechat nanyain mana jelas cancel order driver tetep bilang apk tetap jalan akhir kecancel driver terlalu lama tunggu padahal cancel driver jalan,0.03538691997528076,0.0,0.0
drivernya gak ramah semua mau bayar mahal udah sen tolak mulu banyak gaya drivernya najong,0.13970035314559937,0.0,0.0
mantap,0.9869583463296294,1.0,1.0
baik,0.9890573062002659,1.0,1.0
aplikasi maksim sekarang jelek bangat minta biaya tambah isi chat nya bt d depan alfa kk kasih ratus lima puluh jua bale kosong ee baru su lat lai klo jadi bt jemput,0.14435863494873047,0.0,0.0
driver sangat baik,0.9981536533450708,1.0,1.0
driver nya buta map semua dah gitu gk baca map dah gitu ngechat customer p gw ingetin tuh nama nya ekhfada gilang gw lupa nama lengkap,0.07798963785171509,0.0,0.0
kalo gk pake nomor minimal pake google geh,0.928685799241066,1.0,0.0
driver nya nakal bgt order tiba selesai eh tau muncul tuju beda yg sangat jauh cm rb sampe rb gila kali mana ngotot saldo potong apa lah kesel bgt sumpah makan duit haram moga gak berkah duit,0.17222470045089722,0.0,0.0
mantap jujur amanahkeren,0.9996681574557442,1.0,1.0
tolonggg sekali baik maps nya lengkap titik jemput drivernya malah diarahin sangat sesuai yg buat kesal bgt baik,0.99890016624704,1.0,1.0
layan nya cukup bagus,0.9993634285056032,1.0,1.0
mantap,0.9869583463296294,1.0,1.0
cargo maxim harga jangkau jaga driver rugi,0.44378387928009033,0.0,0.0
fast respon driver nya gercep banget mantap,0.9990480254637077,1.0,1.0
knapa maxim eror,0.2838923931121826,0.0,0.0
maps nya tumpang bikin lebih akurat min kalo maps nya langsung samain sama yg google maps biar enak,0.9672411419451237,1.0,1.0
kk,0.7183388471603394,1.0,1.0
baik,0.9890573062002659,1.0,1.0
maxim nya ramah,0.998757443507202,1.0,1.0
maxim keren,0.9780599791556597,1.0,1.0
mantap,0.9869583463296294,1.0,1.0
order ojek ga padahal driver banyak,0.0688774585723877,0.0,0.0
download maxim buat hemat malah kena tipu sama cs maxim nya mana banyak banget maxim dong kok aplikasi nya gin tipu juta moga aman lebih jaga maxim,0.9841919019818306,1.0,1.0
pihak maxim tindak lanjut tipu soal bayar delivery,0.14231878519058228,0.0,1.0
baik,0.9890573062002659,1.0,1.0
bagus,0.9842692036181688,1.0,1.0
