processed_text,vader_sentiment
['baik'],positif
['terimakasih'],positif
"['aplikasi', 'susah', 'pakai']",negatif
"['lah', 'management', 'pihak', 'maxim', 'baik', 'aku', 'udah', 'x', 'bayar', 'kembali', 'ga', 'pernah', 'kasih', 'alas', 'dompet', 'tinggal', 'ga', 'kembali', 'bukan', 'masalah', 'nominal', 'sebel', 'aja', 'layan', 'kek', 'gin', 'ga', 'profesional', 'harus', 'kan', 'udah', 'tau', 'kerja', 'apa', 'butuh', 'apa', 'yaa', 'penuh', 'dong', 'saran', 'aja', 'yg', 'baca', 'ulas', 'kalo', 'kalian', 'bayar', 'cash', 'mending', 'kasih', 'uang', 'pas', 'aja', 'kalo', 'baik', 'hati', 'mau', 'kasih', 'tips', 'sih', 'beda', 'bahas', 'customer']",positif
"['maxim', 'mau', 'kapan', 'begini', 'terus', 'gak', 'follow', 'up', 'about', 'non', 'cash', 'payment', 'percuma', 'layan', 'kaspro', 'isi', 'payment', 'mau', 'kapan']",negatif
"['bintang', 'apk', 'ga', 'jelas']",negatif
"['sangat', 'buruk', 'saldo', 'elektronik', 'kaspro', 'potong', 'driver', 'monta', 'tunai']",negatif
"['maxim', 'kalau', 'nerima', 'karyawan', 'yg', 'sopan', 'jangan', 'orng', 'gak', 'jls', 'alam', 'hari', 'okt', 'naik', 'maxim', 'eka', 'supraman', 'nekat', 'minta', 'tambah', 'uang', 'orang', 'tua', 'nyamperin', 'orang', 'tua', 'mnta', 'tambah', 'padahal', 'dri', 'awal', 'udh', 'lebihin', 'dn', 'mnta', 'tambah', 'smpe', 'g', 'kasih', 'nekat', 'mama', 'tlng', 'fisik', 'motor', 'nya', 'lebih', 'teliti', 'yg', 'layak', 'kendara', 'sangat', 'kecewa', 'mengunakan', 'maxim']",positif
"['hello', 'maxim', 'owner', 'terima', 'driver', 'lebih', 'selektif', 'jangan', 'orang', 'yg', 'brangasanbad', 'attitudekasar', 'suka', 'playing', 'victim', 'macam', 'yg', 'nama', 'si', 'hardi', 'pake', 'ngerekam', 'segalaaagaya', 'lu', 'tooong', 'lu', 'kan', 'tau', 'gue', 'minta', 'anter', 'hotel', 'anupas', 'elu', 'turun', 'gueada', 'gak', 'hotel', 'nya', 'nyerocos', 'kayak', 'orang', 'gilasongong', 'lu']",positif
"['lucu', 'udah', 'top', 'up', 'kaspro', 'malah', 'ga', 'masuk', 'nominal', 'nya', 'ga', 'sedikit']",positif
"['salah', 'satu', 'aplikasi', 'yg', 'ku', 'jlk', 'mud', 'lelet', 'sering', 'cancel', 'order']",negatif
"['driver', 'mitra', 'lo', 'belagu', 'belagu', 'ngorder', 'yg', 'dekat', 'gak', 'mau', 'pick', 'up', 'dpt', 'driver', 'jauh', 'mulu', 'order', 'ancol', 'masa', 'dpt', 'driver', 'yg', 'cileungsi', 'trus', 'dpt', 'yg', 'aman', 'paling', 'dket', 'pdahal', 'yg', 'ancol', 'bnyk', 'yg', 'on']",positif
"['sangat', 'kecewa', 'aplikasi', 'yg', 'baik', 'nyata', 'sulit', 'laku', 'top', 'up', 'maxim', 'e', 'wallet', 'kaspro', 'developer', 'mohon', 'baik', 'segala', 'sistem', 'yg', 'hubung', 'bayar', 'non', 'tunai', 'top', 'up', 'saldo', 'masuk', 'jam', 'tunggu', 'kasih', 'bintang', 'satu', 'ja', 'terima', 'kasih']",positif
"['susah', 'dapet', 'driver', 'mobil', 'daerah', 'jateng', 'mobile', 'map', 'banyak', 'ga', 'mau', 'ngambil', 'kalo', 'masalah', 'harga', 'padahal', 'harga', 'yg', 'tetap', 'pihak', 'maxim', 'payah', 'ga', 'padan', 'sama', 'kompetitor', 'nya']",negatif
"['capek', 'banget', 'tiap', 'mau', 'pakai', 'maxim', 'wallet', 'selalu', 'batal', 'sama', 'sistem', 'lot', 'banget', 'asli']",positif
"['ojek', 'abal', 'banyak', 'tipu']",negatif
"['masa', 'sen', 'makan', 'jarak', 'ga', 'nyampe', 'km', 'ongkos', 'nya', 'sampek', 'k']",negatif
"['isi', 'saldo', 'maxim', 'wallet', 'bukti', 'transfer', 'saldo', 'nya', 'gak', 'masuk', 'masuk', 'mohon', 'bantu', 'nya']",positif
"['lama', 'masuk', 'top', 'up', 'nya']",positif
"['tarif', 'kasih', 'kaga', 'kasih', 'kembali', 'njir', 'mana', 'ga', 'konfirmasi', 'sama', 'sekali', 'pake', 'fitur', 'anter', 'obat', 'aja', 'nunggunya', 'jam', 'waktu', 'tunggu', 'paling', 'lama', 'tuh', 'menit', 'kacau', 'dah', 'mana', 'map', 'kaga', 'update', 'pusing', 'kalo', 'mau', 'make']",positif
"['driver', 'nya', 'ampun', 'kasar', 'bgttitik', 'gak', 'sesuai', 'malah', 'ngomel', 'gila', 'gak', 'tuh']",negatif
"['apk', 'minta', 'kode', 'pake', 'no', 'telp', 'kirim', 'kode', 'otppadahal', 'langanan', 'maxim']",negatif
"['tipu', 'kasih', 'saldo', 'saldo', 'ga', 'dipake']",positif
"['saldo', 'ga', 'pake', 'huuuuuuu']",negatif
"['kerja', 'terlalu', 'paksa', 'download', 'pdhl', 'ga', 'niat', 'sama', 'sekali']",negatif
"['parah', 'mesen', 'udh', 'jam', 'lebih', 'driver', 'gk', 'da', 'yg', 'datang', 'sering', 'nya', 'tolak', 'driver']",negatif
"['driver', 'sopan', 'nunggu', 'suka', 'lamaaa']",positif
"['pihak', 'maxim', 'tindak', 'lanjut', 'tipu', 'soal', 'bayar', 'delivery']",positif
"['daftar', 'susah', 'banget', 'cuy', 'kode', 'otpnya', 'gak', 'kirim', 'kali', 'coba', 'udah', 'gak', 'buruk', 'sangat']",negatif
"['aku', 'top', 'up', 'kemarin', 'besok', 'masuk', 'saldo', 'rekening', 'potong']",negatif
"['mau', 'daftar', 'aja', 'susah', 'minta', 'kode', 'kode', 'masuk', 'waktu', 'sdh', 'slesai', 'x', 'sya', 'coba', 'sperti', 'lg', 'coba', 'panggil', 'tiba', 'angkat', 'lgsung', 'dimatiin', 'aneh', 'ni', 'apk', 'batas', 'x', 'minta', 'kode', 'gk', 'bsa', 'kode', 'nya', 'akhir', 'nomor', 'sdh', 'gk', 'bsa', 'pakai', 'lg', 'buat', 'kirim', 'kode', 'daftar']",positif
"['aplikasi', 'fenifu', 'koin', 'bukan', 'dana', 'yeuu', 'skem', 'skem']",negatif
"['tarif', 'aplikasi', 'customer', 'sama', 'driver', 'beda', 'sulit', 'jalan', 'lapor', 'dana', 'driver', 'suka', 'nambahin', 'tarif', 'alas', 'ngaret', 'padahal', 'ngaretnya', 'karna', 'naikin', 'tumpang', 'kalau', 'driver', 'ngaret', 'notif', 'sama', 'sekali', 'suka', 'ganti', 'driver', 'sendiri', 'mana', 'semua', 'datang', 'padahal', 'ga', 'ganti', 'driver']",negatif
